nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT01798706,NCT01798706,f8,0.3088,0.2936,0.8658,20.24,2.0089999999999997e-22,7,-410.3,838.5,872.6,237.6,317,325
NCT00712673,NCT00712673,f8,0.1503,0.1363,1.002,10.74,2.314e-18,11,-960.1,1946,2005,670.6,668,680
NCT00713830,NCT00713830,f8,0.1919,0.1852,0.979,28.83,8.962999999999999e-36,7,-1195,2408,2451,814.7,850,858
NCT00715624,NCT00715624,f8,0.2195,0.2082,1.178,19.52,4.6969999999999995e-23,7,-777.7,1573,1611,674.1,486,494
NCT00763815,NCT00763815,f8,0.06866,0.05496,1.031,5.013,1.696e-5,7,-697.6,1413,1451,506.2,476,484
NCT00688701,NCT00688701,f8,0.3019,0.2799,1.014,13.72,7.125e-22,11,-511.1,1048,1099,358.7,349,361
NCT00707031,NCT00707031,f8,0.1964,0.1874,0.9211,21.82,1.968e-26,7,-842.2,1702,1742,530.3,625,633
NCT01648582,NCT01648582,f8,0.2951,0.2849,1.008,29,4.702e-51,11,-1098,2223,2283,774.4,762,774
NCT01558271,NCT01558271,f8,0.4931,0.4815,0.7489,42.45,6.666000000000001e-64,11,-549.8,1126,1180,269.2,480,492
NCT02750410,NCT02750410,f8,0.3497,0.3196,0.7158,11.6,9.414e-12,7,-168.3,354.7,382.3,77.36,151,159
NCT01768559,NCT01768559,f8,0.1145,0.1075,0.7295,16.33,2.6030000000000003e-20,7,-980.3,1979,2022,470.4,884,892
NCT00975286,NCT00975286,f8,0.2164,0.2032,0.7569,16.38,4.539e-19,7,-478.4,974.8,1011,237.8,415,423
NCT01632007,NCT01632007,f8,0.5102,0.487,0.7171,22.06,1.6499999999999998e-30,11,-260,546,591.5,119.8,233,245
NCT01619059,NCT01619059,f8,0.4974,0.4853,0.6897,41.28,3.42e-40,7,-310.2,638.3,671.7,138.9,292,300
