tosep,params,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,rhat
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01703221],2.4397325578452573,0.12642575950878573,0.6108671475050368,1.4390985668349114,1.9746175736196387,2.399787252830654,2.840312107849942,3.7708864421645054,23.34653298858264,1.1931760246801157
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01717313],2.415674595400154,0.1278085576884486,0.6071267177504598,1.4090814451236082,1.953696045325987,2.371191568752686,2.8025378735991637,3.7423100222986223,22.565181065518964,1.1947391619906191
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01733758],1.403746901281717,0.354649046829397,1.681958271649466,-2.3113190210974444,0.33444199143653974,1.525686143743283,2.6708686679280733,4.155216789850778,22.492246794079332,1.1946346259711014
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01798238],2.409263741797045,0.12622101247767525,0.6137072848259266,1.384733564344788,1.9472898987287606,2.369879667057208,2.802915491495253,3.7433877908761928,23.64064045115151,1.1852579131238294
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01814748],2.4733036302352662,0.12312791288388682,0.7560717855708631,0.9915157504290603,1.9705585297655184,2.4565015644740895,2.975108428977869,4.012429296347573,37.706222653505655,1.1042780781922035
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT01958671],2.6365879562378467,0.12749302222731285,0.6085899049549129,1.6268781646603936,2.179745363511702,2.591993471089169,3.0288294771622564,3.9588318370437774,22.786449271063777,1.189045143193828
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT02015299],1.6324933790126543,0.24203714287919345,1.1628703228683683,-0.9379402883547242,0.8910026221123368,1.7335973277660384,2.495405425530505,3.593347863340474,23.08333418686758,1.1892135155310792
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT02054897],2.509671946177802,0.12641246361377756,0.6104859209412679,1.472063370395373,2.0563808328160675,2.4655012097047058,2.89315186930195,3.8409936752310365,23.322307377751716,1.1856216023330128
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT02254291],2.2026144512063355,0.1328201537720076,0.652135134422358,1.1088797569212812,1.7071110427032847,2.1488455644368547,2.649607307607835,3.603081815456422,24.107226057160585,1.1778111113658976
hba1c_agesex_m13_cnvrtagged_random_mono,mu[NCT02505334],3.1678865955825675,0.13134292649040852,0.6659470687834651,2.0065190946188296,2.699284762265668,3.1165564031497834,3.5836544713066245,4.617241859228947,25.70786709105967,1.1643828615751828
