nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,outcome_method,outcome
NCT02465515,NCT02465515,f1,4.142e-01,4.141e-01,1.174e+00,3.099e+03,0.000e+00,2,-1.385e+04,2.770e+04,2.773e+04,1.208e+04,8767,8770,locf,hba1c
NCT00838903,NCT00838903,f2,1.765e-01,1.699e-01,1.160e+00,2.673e+01,9.954e-38,8,-1.574e+03,3.168e+03,3.217e+03,1.343e+03,998,1007,locf,hba1c
NCT00838916,NCT00838916,f2,1.470e-01,1.424e-01,1.000e+00,3.189e+01,1.550e-24,4,-1.055e+03,2.122e+03,2.149e+03,7.404e+02,740,745,locf,hba1c
NCT00839527,NCT00839527,f2,2.703e-01,2.636e-01,9.710e-01,4.038e+01,7.037e-42,6,-9.149e+02,1.846e+03,1.882e+03,6.166e+02,654,661,locf,hba1c
NCT00849017,NCT00849017,f2,1.642e-01,1.469e-01,9.901e-01,9.497e+00,1.567e-09,6,-4.149e+02,8.459e+02,8.754e+02,2.843e+02,290,297,locf,hba1c
NCT00849056,NCT00849056,f2,2.315e-01,2.211e-01,8.739e-01,2.229e+01,4.217e-16,4,-3.840e+02,7.800e+02,8.022e+02,2.260e+02,296,301,locf,hba1c
NCT00976391,NCT00976391,f2,2.143e-01,2.087e-01,9.414e-01,3.819e+01,2.829e-28,4,-7.650e+02,1.542e+03,1.568e+03,4.963e+02,560,565,locf,hba1c
NCT01098539,NCT01098539,f2,2.284e-01,2.220e-01,9.962e-01,3.588e+01,2.811e-26,4,-6.909e+02,1.394e+03,1.419e+03,4.813e+02,485,490,locf,hba1c
NCT01128894,NCT01128894,f2,1.979e-01,1.939e-01,9.256e-01,4.972e+01,2.036e-37,4,-1.086e+03,2.183e+03,2.211e+03,6.905e+02,806,811,locf,hba1c
NCT01733758,NCT01733758,f2,5.853e-01,5.784e-01,5.660e-01,8.486e+01,5.564e-87,8,-4.118e+02,8.437e+02,8.856e+02,1.541e+02,481,490,locf,hba1c
NCT02229227,NCT02229227,f2,1.101e-01,1.057e-01,7.792e-01,2.496e+01,1.635e-19,4,-9.471e+02,1.906e+03,1.934e+03,4.900e+02,807,812,locf,hba1c
NCT02465515,NCT02465515,f2,4.214e-01,4.211e-01,1.167e+00,1.595e+03,0.000e+00,4,-1.379e+04,2.759e+04,2.763e+04,1.193e+04,8763,8768,locf,hba1c
NCT00838903,NCT00838903,f3,1.403e-01,1.335e-01,1.183e+00,2.062e+01,4.123e-29,8,-1.614e+03,3.248e+03,3.297e+03,1.414e+03,1011,1020,locf,hba1c
NCT00838916,NCT00838916,f3,1.314e-01,1.268e-01,1.007e+00,2.822e+01,7.486e-22,4,-1.068e+03,2.149e+03,2.177e+03,7.567e+02,746,751,locf,hba1c
NCT00839527,NCT00839527,f3,2.434e-01,2.365e-01,9.878e-01,3.523e+01,5.220e-37,6,-9.305e+02,1.877e+03,1.913e+03,6.411e+02,657,664,locf,hba1c
NCT00849017,NCT00849017,f3,1.807e-01,1.639e-01,9.880e-01,1.080e+01,7.272e-11,6,-4.199e+02,8.559e+02,8.855e+02,2.870e+02,294,301,locf,hba1c
NCT00849056,NCT00849056,f3,2.256e-01,2.152e-01,8.757e-01,2.163e+01,1.121e-15,4,-3.859e+02,7.839e+02,8.061e+02,2.278e+02,297,302,locf,hba1c
NCT00976391,NCT00976391,f3,2.218e-01,2.164e-01,9.435e-01,4.069e+01,5.164e-30,4,-7.813e+02,1.575e+03,1.601e+03,5.083e+02,571,576,locf,hba1c
NCT01098539,NCT01098539,f3,2.114e-01,2.049e-01,1.031e+00,3.270e+01,3.593e-24,4,-7.119e+02,1.436e+03,1.461e+03,5.183e+02,488,493,locf,hba1c
