nct_id,nct_id2,models,term,estimate,std.error,outcome_method,outcome
NCT00849056,NCT00849056,f2,age10,-0.132,0.076,locf,hba1c
NCT00849056,NCT00849056,f2,arm_f_2_uaa10397,-0.973,0.584,locf,hba1c
NCT00849056,NCT00849056,f2,age10:arm_f_2_uaa10397,0.056,0.105,locf,hba1c
NCT00976391,NCT00976391,f2,(Intercept),3.743,0.56,locf,hba1c
NCT00976391,NCT00976391,f2,value_1,0.519,0.045,locf,hba1c
NCT00976391,NCT00976391,f2,age10,-0.084,0.064,locf,hba1c
NCT00976391,NCT00976391,f2,arm_f_2_uaa10467,-0.106,0.5,locf,hba1c
NCT00976391,NCT00976391,f2,age10:arm_f_2_uaa10467,-0.006,0.089,locf,hba1c
NCT01098539,NCT01098539,f2,(Intercept),2.601,0.661,locf,hba1c
NCT01098539,NCT01098539,f2,value_1,0.596,0.055,locf,hba1c
NCT01098539,NCT01098539,f2,age10,0.035,0.071,locf,hba1c
NCT01098539,NCT01098539,f2,arm_f_2_uaa10566,0.383,0.665,locf,hba1c
NCT01098539,NCT01098539,f2,age10:arm_f_2_uaa10566,-0.113,0.104,locf,hba1c
NCT01128894,NCT01128894,f2,(Intercept),3.415,0.442,locf,hba1c
NCT01128894,NCT01128894,f2,value_1,0.491,0.039,locf,hba1c
NCT01128894,NCT01128894,f2,age10,-0.045,0.047,locf,hba1c
NCT01128894,NCT01128894,f2,arm_f_2_uaa10601,0.802,0.367,locf,hba1c
NCT01128894,NCT01128894,f2,age10:arm_f_2_uaa10601,-0.113,0.065,locf,hba1c
NCT01733758,NCT01733758,f2,(Intercept),4.804,0.454,locf,hba1c
NCT01733758,NCT01733758,f2,value_1,0.52,0.033,locf,hba1c
NCT01733758,NCT01733758,f2,age10,-0.136,0.058,locf,hba1c
NCT01733758,NCT01733758,f2,arm_f_2_uaa10899,-1.656,0.452,locf,hba1c
NCT01733758,NCT01733758,f2,arm_f_2_uaa10900,-1.4,0.441,locf,hba1c
NCT01733758,NCT01733758,f2,arm_f_2_uaa10901,-2.163,0.48,locf,hba1c
NCT01733758,NCT01733758,f2,age10:arm_f_2_uaa10899,0.075,0.076,locf,hba1c
NCT01733758,NCT01733758,f2,age10:arm_f_2_uaa10900,-0.004,0.076,locf,hba1c
NCT01733758,NCT01733758,f2,age10:arm_f_2_uaa10901,0.139,0.082,locf,hba1c
NCT02229227,NCT02229227,f2,(Intercept),3.894,0.423,locf,hba1c
NCT02229227,NCT02229227,f2,value_1,0.425,0.044,locf,hba1c
NCT02229227,NCT02229227,f2,age10,-0.096,0.041,locf,hba1c
NCT02229227,NCT02229227,f2,arm_f_2_uaa11080,-0.592,0.341,locf,hba1c
NCT02229227,NCT02229227,f2,age10:arm_f_2_uaa11080,0.112,0.058,locf,hba1c
NCT02465515,NCT02465515,f2,(Intercept),4.291,0.16,locf,hba1c
NCT02465515,NCT02465515,f2,value_1,0.615,0.008,locf,hba1c
NCT02465515,NCT02465515,f2,age10,-0.177,0.021,locf,hba1c
