nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT00968812,NCT00968812,f5,arm_f_2_uaa10456,0.832,0.466,1.787,7.408e-02
NCT00968812,NCT00968812,f5,arm_f_2_uaa10457,0.213,0.468,0.455,6.494e-01
NCT00968812,NCT00968812,f5,value_1:arm_f_2_uaa10456,-0.102,0.059,-1.718,8.594e-02
NCT00968812,NCT00968812,f5,value_1:arm_f_2_uaa10457,-0.036,0.06,-0.601,5.482e-01
NCT01032629,NCT01032629,f5,(Intercept),3.405,0.303,11.237,6.984e-29
NCT01032629,NCT01032629,f5,value_1,0.588,0.037,15.919,1.973e-55
NCT01032629,NCT01032629,f5,arm_f_2_uaa10512,0.32,0.424,0.756,4.495e-01
NCT01032629,NCT01032629,f5,arm_f_2_uaa10514,0.123,0.425,0.291,7.713e-01
NCT01032629,NCT01032629,f5,value_1:arm_f_2_uaa10512,-0.067,0.051,-1.307,1.914e-01
NCT01032629,NCT01032629,f5,value_1:arm_f_2_uaa10514,-0.044,0.052,-0.848,3.963e-01
NCT01106625,NCT01106625,f5,(Intercept),3.017,0.612,4.926,1.185e-06
NCT01106625,NCT01106625,f5,value_1,0.591,0.075,7.876,2.608e-14
NCT01106625,NCT01106625,f5,arm_f_2_uaa10569,0.822,0.846,0.972,3.318e-01
NCT01106625,NCT01106625,f5,arm_f_2_uaa10570,0.225,0.837,0.268,7.885e-01
NCT01106625,NCT01106625,f5,value_1:arm_f_2_uaa10569,-0.176,0.104,-1.7,8.988e-02
NCT01106625,NCT01106625,f5,value_1:arm_f_2_uaa10570,-0.132,0.102,-1.289,1.982e-01
NCT01081834,NCT01081834,f5,(Intercept),2.729,0.49,5.573,3.873e-08
NCT01081834,NCT01081834,f5,value_1,0.638,0.061,10.514,9.795e-24
NCT01081834,NCT01081834,f5,arm_f_2_uaa10548,-0.401,0.706,-0.568,5.700e-01
NCT01081834,NCT01081834,f5,arm_f_2_uaa10549,-0.442,0.687,-0.643,5.204e-01
NCT01081834,NCT01081834,f5,value_1:arm_f_2_uaa10548,-0.031,0.087,-0.356,7.221e-01
NCT01081834,NCT01081834,f5,value_1:arm_f_2_uaa10549,-0.053,0.085,-0.619,5.364e-01
NCT01106651,NCT01106651,f5,(Intercept),2.749,0.471,5.843,7.898e-09
NCT01106651,NCT01106651,f5,value_1,0.628,0.06,10.409,1.147e-23
NCT01106651,NCT01106651,f5,arm_f_2_uaa10573,0.396,0.664,0.596,5.516e-01
NCT01106651,NCT01106651,f5,arm_f_2_uaa10574,0.084,0.667,0.126,8.998e-01
NCT01106651,NCT01106651,f5,value_1:arm_f_2_uaa10573,-0.117,0.085,-1.369,1.715e-01
NCT01106651,NCT01106651,f5,value_1:arm_f_2_uaa10574,-0.097,0.086,-1.13,2.588e-01
NCT01106677,NCT01106677,f5,(Intercept),2.31,0.485,4.758,2.183e-06
