nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT01106625,NCT01106625,f8,3.440e-01,3.276e-01,8.075e-01,2.093e+01,3.843e-34,11,-5.375e+02,1.101e+03,1.154e+03,2.863e+02,439,451
NCT01081834,NCT01081834,f8,4.244e-01,4.131e-01,8.236e-01,3.747e+01,3.896e-60,11,-6.934e+02,1.413e+03,1.469e+03,3.792e+02,559,571
NCT01106651,NCT01106651,f8,3.599e-01,3.496e-01,7.164e-01,3.492e+01,3.434e-59,11,-7.484e+02,1.523e+03,1.582e+03,3.506e+02,683,695
NCT01106677,NCT01106677,f8,3.405e-01,3.325e-01,7.256e-01,4.250e+01,1.698e-100,15,-1.366e+03,2.765e+03,2.853e+03,6.502e+02,1235,1251
NCT01106690,NCT01106690,f8,4.097e-01,3.898e-01,6.860e-01,2.051e+01,2.145e-31,11,-3.450e+02,7.161e+02,7.657e+02,1.529e+02,325,337
NCT01137812,NCT01137812,f8,2.578e-01,2.506e-01,8.697e-01,3.602e+01,2.655e-43,7,-9.350e+02,1.888e+03,1.929e+03,5.491e+02,726,734
NCT01381900,NCT01381900,f8,3.955e-01,3.852e-01,7.394e-01,3.860e+01,7.303e-64,11,-7.323e+02,1.491e+03,1.549e+03,3.548e+02,649,661
NCT01809327,NCT01809327,f8,2.230e-01,2.099e-01,1.050e+00,1.708e+01,7.543e-50,19,-1.680e+03,3.401e+03,3.507e+03,1.248e+03,1131,1151
NCT01989754,NCT01989754,f8,2.041e-01,2.031e-01,1.123e+00,2.064e+02,1.416e-273,7,-8.656e+03,1.733e+04,1.739e+04,7.107e+03,5633,5641
NCT02025907,NCT02025907,f8,2.959e-01,2.706e-01,9.998e-01,1.171e+01,2.093e-12,7,-2.839e+02,5.859e+02,6.157e+02,1.949e+02,195,203
NCT02065791,NCT02065791,f8,1.913e-01,1.899e-01,1.378e+00,1.388e+02,3.543e-184,7,-7.155e+03,1.433e+04,1.438e+04,7.796e+03,4108,4116
