nct_id,nct_id2,models,term,estimate,std.error,statistic,p.value
NCT02465515,NCT02465515,f3,sex,-0.143,0.042,-3.431,6.039e-04
NCT02465515,NCT02465515,f3,arm_f_2_uaa11138,-0.208,0.05,-4.187,2.850e-05
NCT02465515,NCT02465515,f3,sex:arm_f_2_uaa11138,0.132,0.059,2.24,2.512e-02
NCT00838903,NCT00838903,f4,(Intercept),5.2,0.79,6.584,7.428e-11
NCT00838903,NCT00838903,f4,value_1,0.48,0.045,10.596,6.262e-25
NCT00838903,NCT00838903,f4,age10,-0.209,0.117,-1.783,7.484e-02
NCT00838903,NCT00838903,f4,arm_f_2_uaa10381,-0.583,0.767,-0.76,4.473e-01
NCT00838903,NCT00838903,f4,arm_f_2_uaa10382,0.378,0.762,0.496,6.199e-01
NCT00838903,NCT00838903,f4,arm_f_2_uaa10384,-0.271,0.767,-0.353,7.240e-01
NCT00838903,NCT00838903,f4,sex,0.082,0.232,0.351,7.257e-01
NCT00838903,NCT00838903,f4,age10:arm_f_2_uaa10381,-0.009,0.135,-0.064,9.492e-01
NCT00838903,NCT00838903,f4,age10:arm_f_2_uaa10382,-0.129,0.135,-0.955,3.396e-01
NCT00838903,NCT00838903,f4,age10:arm_f_2_uaa10384,-0.014,0.135,-0.106,9.156e-01
